Dataset,Metric,Cox PH Baseline Value,Cox PH Baseline Rank,Random Survival Forest Value,Random Survival Forest Rank,DeepSurv Neural Net Value,DeepSurv Neural Net Rank,Bayesian Cox (ADVI) Value,Bayesian Cox (ADVI) Rank
GBSG2,C-Index,0.482,4,0.5441,1,0.5411,2,0.5017,3
GBSG2,IBS,0.1386,2,0.1356,1,0.1939,3,0.2478,4
WHAS500,C-Index,0.4685,3,0.5581,1,0.5492,2,0.4403,4
WHAS500,IBS,0.1565,2,0.1457,1,0.24,4,0.2332,3
METABRIC,C-Index,0.5129,4,0.5746,1,0.5493,2,0.5376,3
METABRIC,IBS,0.1671,2,0.165,1,0.2086,4,0.1785,3
